record_index,delta,L_B,constraint_residual,finite_q_relative_error,incoming_plateau,outgoing_plateau
265,3.162277661949986e-07,10.43316580411856,8.967029592812925e-16,8.094311046597061e-08,True,True
266,3.162277661949986e-07,14.174866580093036,5.976664475826343e-16,7.770117718457623e-11,True,True
267,3.162277661949986e-07,8.188145338533875,7.435204389021413e-16,7.088265395437353e-08,True,True
268,3.162277661949986e-07,10.43316580411856,8.967029592812925e-16,8.094311046597061e-08,True,True
269,3.162277661949986e-07,14.174866580093036,5.976664475826343e-16,7.770117718457623e-11,True,True
270,9.999999999177334e-07,8.247078776900342,1.1860900716448297e-15,6.801688455190994e-08,True,True
271,9.999999999177334e-07,10.319405360607323,4.620544398481474e-15,7.624887887387682e-08,True,True
272,9.999999999177334e-07,13.773283000118958,8.248881178812839e-16,4.1255170313156736e-11,True,True
273,9.999999999177334e-07,8.252087132523577,1.002778589331843e-15,6.803790994678772e-08,True,True
274,9.999999999177334e-07,10.32441371623056,2.2410323380003816e-15,7.626401466060781e-08,True,True
275,9.999999999177334e-07,13.778291355742194,8.32396217925746e-16,4.13089745543178e-11,True,True
276,9.999999999177334e-07,8.252087132523577,9.838863664762831e-16,6.803788536056751e-08,True,True
277,9.999999999177334e-07,10.32441371623056,2.2410323380003816e-15,7.626401439431202e-08,True,True
278,9.999999999177334e-07,13.778291355742194,8.32396217925746e-16,4.131036557578481e-11,True,True
279,9.999999999177334e-07,8.252087132523577,9.838863664762831e-16,6.803788536056751e-08,True,True
280,9.999999999177334e-07,10.32441371623056,2.2410323380003816e-15,7.626401439431202e-08,True,True
281,9.999999999177334e-07,13.778291355742194,8.32396217925746e-16,4.131036557578481e-11,True,True
282,9.999999999177334e-07,8.252087132523577,1.002778589331843e-15,6.803790994678772e-08,True,True
